title,url,description,category,rating,isHighlighted
"Azure Policy Aliases (mats.codes)","https://policyalias.mats.codes","","Policies",5,true
"AzAdvertizer","https://www.azadvertizer.net","","Policies",1,false
"AzGovViz","https://github.com/Azure/AzGovViz","","Governance",5,true
"Continuous Cloud Optimization (CCO)","https://github.com/Azure/CCOInsights","","Governance",5,true
"AzureSecurityCenterInventory","https://github.com/Azure/AzureSecurityCenterInventory","","Security",1,false
"Azure Resource Inventory (ARI)","https://github.com/azureinventory/AzureResourceInventory","","Governance",1,false
"New (diagrams.net) diagram","https://powershell.today/2020/06/12/new-diagrams-net-diagram-powershell-module/","","Stencils and icons",1,false
"Azure Raci toolkit","https://github.com/Azure/Enterprise-Scale/blob/main/tools/raci-toolkit/README.md","","Governance",1,false
"Azure Naming Tool","https://github.com/mspnp/AzureNamingTool","","Governance",1,false
"Azure Periodic Table of Resource Naming Convention","https://www.azureperiodictable.com","","Governance",1,false
"The perfect Azure naming convention","https://www.devjev.nl/2020/04/01/the-perfect-azure-naming-convention/","","Governance",1,false
"remove Unauthorized Role Assignments","https://github.com/azsk/DevOpsKit-docs/blob/master/09-Security-Incident-Response/RemoveUnauthorizedRoleAssignments.md","","RBAC",1,false
"KQL - threat hunting hub","https://github.com/Azure/Azure-Sentinel/tree/master/Detections","","KQL",1,false
"Microsoft Kusto Detective Agency Contest","https://detective.kusto.io","","KQL",1,false
"Azure Geographies and regions","https://azure.microsoft.com","","BCDR",1,false
"Azure Business Continuity Guide","https://github.com/Azure/Business-Continuity","","BCDR",1,false
"Azure Info Hub","https://azureinfohub.azurewebsites.net","","Infos",1,false
"Azure Weekly","https://azureweekly.info","","Infos",1,false
"AzureFeeds","https://azurefeeds.com","","Infos",1,false
"Microsoft Blogs by products","https://techcommunity.microsoft.com","","Infos",1,false
"Securing Azure Lighthouse with Azure Policy and PIM","https://securecloud.blog/2020/06/15/securing-azure-lighthouse-with-azure-policy-and-pim/","","Policies",1,false
"Azure Mask (repo)","https://github.com/MicrosoftEdge/MSEdgeDevToolsExtension","","Tools",1,false
"AZ-Mask (Chrome Web Store)","https://chromewebstore.google.com/detail/az-mask/amobeamdmdnloajcaiomgegpakjdiacm","","Tools",1,false
"Raspberry Simulator for IOT Hub","https://learn.microsoft.com/azure/iot-hub/tutorial-raspberry-pi-simulated-device","","IoT",1,false
"sqlflow","https://sqlflow.gudusoft.com","","SQL",1,false
"Nuage de mots","https://nuagedemots.co","","Tools",1,false
"Wiki Tech","https://wiki-tech.io","","Misc",1,false
"Code Error (MS Login)","https://login.microsoftonline.com","","Misc",1,false
"quickref cheatsheets and quick references","https://quickref.me","","Misc",1,false
"Cheatography","https://cheatography.com","","Security",1,false
"Azure serverless community library","https://www.serverlesslibrary.net","","Misc",1,false
"GUID generator","https://guidgenerator.com","","Tools",1,false
"Quoootes","https://quoootes.com","","Quotes",1,false
"Migration Execution Guide","https://github.com/Azure/MigrationPlaybook","","Migration",1,false
"Network-segmentation-cheat-sheet","https://github.com/OWASP/CheatSheetSeries/blob/master/cheatsheets/Network_Segmentation_Cheat_Sheet.md","","Network",1,false
"Azure IP ranges (official)","https://www.microsoft.com/en-us/download/confirmation.aspx?id=56519","","Network",5,true
"trippy.rs (Network Diag Tool)","https://trippy.rs","","Network",1,false
"azure-policy-as-code (globalbao)","https://github.com/globalbao/azure-policy-as-code","","Policies",1,false
"Azure Preview portal","https://preview.portal.azure.com","","Portals",1,true
"Azure RC portal","https://rc.portal.azure.com","","Portals",1,true
"Microsoft portals","https://www.nuno-silva.net","","Portals",1,true
"Microsoft portals 2","https://www.moderndeployment.com","","Portals",1,true
"Azure portals 3","https://cmd.ms","","Portals",1,true
"Microsoft Administrator Portals","https://msportals.io","","Portals",1,true
"MyApps","https://myapps.microsoft.com","","Governance",1,false
"Azure Cloud Shell Web","https://shell.azure.com","","Misc",1,false
"Iterate over a hashtable in PowerShell","https://arcanecode.com/2018/03/07/iterate-over-a-hashtable-in-powershell/","","Powershell",1,false
"Gain insights into your Azure role assignments on subscription level","https://codewithme.cloud/2023/11/23/role-assignments-azure","","RBAC",1,false
"Azure NVA Redundancy Part I","https://nwktimes.blogspot.com/2020/03/azure-nva-redundancy-part-i.html","","Network",1,false
"Connect Azure with On-Prem Network Part 1","https://anktsrkr.github.io/posts/connect-azure-with-on-prem-network-part-1/","","Network",1,false
