Name,Category,Feed
AI Platform Blog,AI,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AIPlatformBlog
Azure AI Services Blog,AI,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Azure-AI-Services-blog
Machine Learning Blog,AI,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MachineLearningBlog
Access Blog,Identity,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AccessBlog
Analytics on Azure,Analytics,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AnalyticsonAzure
Apps on Azure Blog,PaaS,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AppsonAzureBlog
Ask Directory Services,Others,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AskDS
Azure Arc Blog,Arc,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureArcBlog
Azure Architecture Blog,Architecture,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureArchitectureBlog
Azure Communication Services Blog,PaaS,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureCommunicationServicesBlog
Azure Compute,Cloud Infrastructure,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureCompute
Azure Confidential Computing Blog,PaaS,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureConfidentialComputingBlog
Azure Data Blog,Data,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureDataBlog
Azure Data Explorer,Data,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureDataExplorer
Azure Data Factory Blog,Data,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureDataFactoryBlog
Azure Database Support Blog,Databases,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureDBSupport
Azure Database for My SQL,Database,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=ADforMySQL
Azure Database for Postgre SQL,Database,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=ADforPostgreSQL
Azure Federal Developer Connect,Development,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureFederalDeveloperConnect
Azure Governance and Management Blog,Governance,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureGovernanceandManagementBlog
Azure High Performance Computing Blog,HPC,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureHighPerformanceComputingBlog
Azure Infra Gurus,Cloud Infrastructure,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureInfraGurus
Azure Infrastructure Blog,Cloud Infrastructure,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureInfrastructureBlog
Integrations on Azure Blog,Others,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=IntegrationsonAzureBlog
Azure Lab Services Blog,Others,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureLabServicesBlog
Azure Maps Blog,PaaS,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureMapsBlog
Azure Migration and Modernization Blog,Others,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureMigrationBlog
Azure Network Security Blog,Networking,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureNetworkSecurityBlog
Azure Networking Blog,Networking,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureNetworkingBlog
Azure Observability Blog,Others,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureObservabilityBlog
